,total_posts,time_online,final_score
0,0.0625,0.5555555555555556,26.599999999999998
1,0.0625,0.20555555555555557,1.7999999999999998
2,0.125,0.3854166666666667,60.0
3,0.3125,3.0038194444444444,50.0
4,0.875,11.865277777777777,86.0
5,0.5625,5.203125,64.4
6,0.9375,8.99201388888889,51.0
7,0.5,3.290277777777778,58.2
9,0.25,1.6635416666666665,31.6
10,0.3125,6.2718750000000005,62.400000000000006
11,0.25,2.5239583333333333,69.2
12,0.25,3.090277777777778,72.2
13,0.4375,5.817013888888888,95.4
14,0.3125,6.023611111111111,82.4
15,0.125,1.4416666666666667,63.4
16,0.125,2.0038194444444444,77.4
17,0.125,0.5489583333333333,60.2
18,0.0625,0.1277777777777778,60.2
19,1.125,7.467361111111111,89.80000000000001
20,0.125,1.1274305555555555,64.80000000000001
21,0.8125,7.210069444444444,90.60000000000001
22,0.1875,0.4458333333333333,3.2
23,0.9375,7.845138888888889,90.0
24,0.5,3.6274305555555557,82.8
25,0.8125,6.6819444444444445,90.0
26,0.375,9.607291666666667,66.0
27,0.6875,6.143402777777777,95.4
28,0.0,0.2548611111111111,0.2
29,0.1875,3.0788194444444446,84.80000000000001
30,0.0,0.0,0.0
31,0.25,5.164930555555555,59.39999999999999
32,0.0,0.0,0.0
33,0.75,7.882291666666667,80.0
34,0.125,0.5746527777777778,83.6
35,0.1875,1.0482638888888889,63.400000000000006
36,0.625,5.113888888888889,97.0
37,0.25,3.333680555555556,80.0
38,0.4375,6.427083333333333,84.80000000000001
39,0.375,4.543055555555555,75.80000000000001
40,0.125,0.4690972222222222,7.999999999999999
41,0.5,3.9024305555555556,80.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.375,2.661111111111111,18.400000000000002
45,0.5,5.33125,56.2
46,0.125,11.145138888888889,71.2
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.125,0.8961805555555555,23.0
50,0.375,4.366666666666666,59.6
51,0.25,1.0399305555555556,88.0
52,0.25,0.7090277777777777,88.0
53,0.5,1.1725694444444443,80.0
54,0.1875,4.526736111111111,79.2
55,0.3125,5.2875000000000005,50.2
56,0.0,0.0,0.0
57,0.125,0.6371527777777778,22.0
58,0.3125,6.439236111111111,63.8
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.6875,6.581597222222222,63.0
62,0.1875,1.0222222222222224,80.0
63,0.0625,1.4829861111111111,3.0
64,0.5,2.6277777777777778,62.599999999999994
65,0.4375,5.692708333333333,74.2
67,0.375,4.590625,70.2
68,0.0,0.3430555555555555,0.2
69,0.125,0.7291666666666666,32.2
70,0.3125,2.370138888888889,77.19999999999999
